iter	Passed	Remaining
747	54674	54967
748	54751	54897
749	54821	54821
750	54896	54750
751	54968	54676
752	55042	54603
753	55122	54537
754	55198	54466
755	55275	54397
756	55356	54332
757	55428	54258
758	55498	54182
759	55575	54112
760	55653	54044
761	55727	53972
762	55802	53900
763	55880	53832
764	55947	53753
765	56018	53678
766	56087	53600
767	56159	53526
768	56230	53451
769	56306	53381
770	56380	53308
771	56456	53239
772	56537	53173
773	56615	53104
774	56689	53032
775	56761	52957
776	56836	52886
777	56909	52812
778	56983	52740
779	57056	52667
780	57129	52594
781	57205	52523
782	57284	52456
783	57362	52387
784	57443	52321
785	57537	52266
786	57622	52204
787	57710	52144
788	57799	52085
789	57890	52028
790	57979	51969
791	58065	51907
792	58145	51839
793	58219	51766
794	58304	51703
795	58377	51629
796	58453	51559
797	58536	51494
798	58621	51431
799	58717	51377
800	58815	51325
801	58911	51272
802	59007	51218
803	59122	51180
804	59215	51123
805	59303	51062
806	59396	51005
807	59484	50944
808	59577	50887
809	59670	50830
810	59761	50771
811	59855	50715
812	59940	50650
813	60034	50594
814	60125	50534
815	60218	50477
816	60310	50418
817	60409	50366
818	60494	50301
819	60590	50245
820	60676	50182
821	60764	50119
822	60842	50049
823	60925	49982
824	61017	49923
825	61113	49867
826	61202	49805
827	61288	49741
828	61379	49681
829	61470	49620
830	61553	49553
831	61639	49489
832	61723	49423
833	61806	49355
834	61891	49291
835	61970	49220
836	62048	49149
837	62128	49079
838	62204	49007
839	62281	48935
840	62359	48864
841	62440	48795
842	62513	48720
843	62597	48653
844	62692	48595
845	62789	48539
846	62879	48477
847	62975	48419
848	63074	48364
849	63163	48301
850	63245	48233
851	63334	48169
852	63418	48102
853	63502	48035
854	63588	47970
855	63671	47902
856	63754	47834
857	63834	47764
858	63935	47709
859	64015	47639
860	64095	47569
861	64171	47495
862	64250	47424
863	64329	47354
864	64417	47289
865	64512	47229
866	64610	47172
867	64693	47104
868	64786	47042
869	64876	46979
870	64963	46913
871	65049	46847
872	65134	46780
873	65218	46712
874	65299	46642
875	65384	46575
876	65471	46509
877	65558	46443
878	65635	46370
879	65712	46297
880	65795	46228
881	65880	46161
882	65967	46095
883	66060	46032
884	66152	45970
885	66235	45901
886	66320	45833
887	66403	45764
888	66502	45706
889	66584	45636
890	66669	45568
891	66749	45497
892	66838	45432
893	66928	45367
894	67010	45297
895	67091	45226
896	67184	45164
897	67273	45098
898	67365	45035
899	67453	44968
900	67534	44898
901	67625	44833
902	67724	44774
903	67830	44719
904	67915	44651
905	68000	44583
906	68085	44514
907	68175	44448
908	68257	44378
909	68351	44315
910	68438	44248
911	68525	44180
912	68611	44112
913	68692	44041
914	68771	43968
915	68848	43894
916	68925	43820
917	69011	43752
