iter	Passed	Remaining
1112	71848	24982
1113	71916	24918
1114	71980	24854
1115	72043	24789
1116	72107	24724
1117	72170	24659
1118	72235	24594
1119	72298	24529
1120	72360	24464
1121	72423	24399
1122	72486	24334
1123	72548	24268
1124	72610	24203
1125	72671	24137
1126	72732	24072
1127	72792	24006
1128	72854	23940
1129	72919	23876
1130	72979	23810
1131	73046	23746
1132	73105	23680
1133	73175	23617
1134	73237	23552
1135	73298	23486
1136	73361	23421
1137	73422	23355
1138	73480	23289
1139	73541	23223
1140	73602	23158
1141	73666	23093
1142	73727	23027
1143	73790	22962
1144	73855	22898
1145	73918	22833
1146	73980	22768
1147	74042	22702
1148	74115	22641
1149	74185	22578
1150	74248	22513
1151	74309	22447
1152	74371	22382
1153	74431	22316
1154	74495	22252
1155	74558	22187
1156	74621	22121
1157	74684	22056
1158	74743	21991
1159	74805	21925
1160	74868	21860
1161	74930	21795
1162	74991	21730
1163	75052	21664
1164	75113	21599
1165	75175	21533
1166	75235	21468
1167	75296	21402
1168	75357	21337
1169	75435	21276
1170	75493	21210
1171	75551	21144
1172	75610	21078
1173	75672	21013
1174	75731	20947
1175	75792	20881
1176	75850	20815
1177	75913	20750
1178	75973	20684
1179	76035	20619
1180	76094	20553
1181	76155	20488
1182	76215	20422
1183	76274	20357
1184	76334	20291
1185	76395	20226
1186	76454	20160
1187	76517	20095
1188	76580	20030
1189	76642	19965
1190	76709	19902
1191	76773	19837
1192	76837	19772
1193	76898	19707
1194	76960	19642
1195	77023	19577
1196	77087	19513
1197	77148	19448
1198	77211	19383
1199	77273	19318
1200	77334	19253
1201	77402	19189
1202	77469	19125
1203	77532	19061
1204	77592	18995
1205	77655	18930
1206	77718	18866
1207	77781	18801
1208	77841	18735
1209	77904	18671
1210	77964	18605
1211	78026	18540
1212	78087	18475
1213	78153	18411
1214	78217	18347
1215	78277	18282
1216	78339	18216
1217	78399	18151
1218	78462	18087
1219	78524	18022
1220	78586	17957
1221	78646	17891
1222	78708	17826
1223	78771	17762
1224	78832	17697
1225	78896	17632
1226	78957	17567
1227	79017	17502
1228	79077	17436
1229	79138	17371
1230	79203	17307
1231	79265	17242
1232	79327	17177
1233	79392	17113
1234	79453	17048
1235	79512	16983
1236	79573	16918
1237	79635	16853
1238	79697	16788
1239	79758	16723
1240	79820	16658
1241	79881	16593
1242	79941	16528
1243	80002	16463
1244	80062	16398
1245	80123	16333
1246	80185	16268
1247	80247	16203
1248	80308	16138
1249	80370	16074
1250	80430	16008
1251	80492	15944
1252	80551	15878
1253	80613	15814
1254	80673	15749
1255	80732	15683
1256	80793	15618
1257	80855	15554
1258	80919	15489
1259	80982	15425
1260	81042	15360
1261	81103	15295
1262	81162	15230
1263	81222	15164
1264	81281	15099
